name,type
A & L,Small airport
A & P Airpark,Small airport
A 511,Medium airport
A A Helicopters Inc,Heliport
A A Ranch,Small airport
A and K,Heliport
A B Dock Services,Heliport
A C Goodwin Memorial Field Gliderport,Small airport
A Coruña,Medium airport
A G A Farms,Small airport
A G Spanos Companies Hq,Heliport
A I M,Heliport
A J Oster Co.,Closed
A J's,Closed
A M Classics,Closed
A P Hill AAF (Fort A P Hill),Small airport
A Paul Vance Fredericktown Regional,Small airport
A T I,Heliport
A Universal,Heliport
A Z Minerals Corporation,Small airport
A.H. Butz Downtown Allentown,Heliport
A.I.Dupont Institute,Closed
A.I.Dupont Institute,Heliport
A.R.S. Sport Strip,Small airport
Aachen-Merzbrück,Small airport
AAF,Heliport
Aalborg,Large airport
Aalen-Heidenheim/Elchingen,Small airport
Aalst Hospital Helistrip,Heliport
Aamby Valley,Small airport
Aappilattoq (Kujalleq),Heliport
Aappilattoq (Qaasuitsup),Heliport
Aarhus,Medium airport
Aaron Penston Field,Small airport
Aaron's Field,Closed
Aasiaat,Medium airport
Aavahelukka,Small airport
Aba,Small airport
Aba,Small airport
Aba Tenna Dejazmach Yilma International,Medium airport
Abaco I Walker C,Small airport
Abacus Tower,Heliport
Abadan,Medium airport
Abadeh,Small airport
Abaeté,Small airport
Abaiang,Small airport
Abakan,Medium airport
Aban,Small airport
Abaré,Small airport
Abau,Closed
Abay Bazar,Small airport
Abba's,Small airport
Abbaye,Small airport
Abbeville,Medium airport
Abbeville,Small airport
Abbeville Chris Crusta Memorial,Small airport
Abbeville County Memorial Hospital,Heliport
Abbeville General Hospital,Heliport
Abbeville Municipal,Small airport
Abbey Etna,Heliport
Abbeyshrule Aerodrome,Small airport
Abbotsford,Medium airport
Abbotsford (Regional Hospital & Cancer Centre),Heliport
Abbotsford (Sumas Mountain),Heliport
Abbotsford (Teck),Heliport
Abbott,Closed
Abbott Northwestern Hospital,Closed
Abbottabad,Small airport
Abbse,Small airport
ABC 33/40,Heliport
ABC-TV,Heliport
Abc7-Tv,Heliport
Abdanan,Small airport
Abdul Rachman Saleh,Small airport
Abeche,Medium airport
Abeid Amani Karume International,Medium airport
Abel Monteverde,Heliport
Abel Ranch,Small airport
Abel Santamaria,Medium airport
Abemama Atoll,Small airport
Abengourou,Small airport
Aberdeen,Small airport
Aberdeen,Small airport
Aberdeen Dyce,Large airport
Aberdeen Field,Small airport
Aberdeen Municipal,Small airport
Aberdeen Regional,Medium airport
Abernathy Field,Small airport
Abernathy Municipal,Small airport
Aberporth,Small airport
Abha Regional,Medium airport
Abi,Small airport
Abide Airpark,Small airport
Abie Sky Ranch,Closed
Abilene Executive Airpark,Small airport
Abilene Municipal,Small airport
Abilene Regional,Medium airport
Abilene Regional Medical Center,Heliport
Abingdon Downs,Small airport
Abington Memorial Hospital,Heliport
